customer_id,first_name,last_name,city,country,customer_segment,registration_date
1,Mónica,Martins,Setúbal,PT,second_trimester,2021-08-25
2,Mónica,Silva,Valencia,ES,third_trimester,2021-06-22
3,Lucia,Sánchez,Barcelona,ES,first_trimester,2021-11-30
4,Mariana,Fernández,Évora,PT,first_trimester,2022-07-16
5,Cristina,Rodrigues,Aveiro,PT,postpartum,2022-09-01
6,Beatriz,Santos,Coimbra,PT,second_trimester,2021-03-15
7,Rosa,Martins,Zaragoza,ES,postpartum,2022-02-21
8,Patricia,Fernández,Porto,PT,postpartum,2021-10-23
9,Sara,Pereira,Barcelona,ES,third_trimester,2022-03-15
10,Vera,Sánchez,Lisboa,PT,first_trimester,2021-12-18
11,Nuria,Sánchez,Setúbal,PT,first_trimester,2021-03-24
12,Sofia,Martins,Leiria,PT,second_trimester,2021-08-20
13,Teresa,Monteiro,Setúbal,PT,third_trimester,2021-01-12
14,Carla,García,Évora,PT,third_trimester,2022-05-14
15,Beatriz,López,Zaragoza,ES,first_trimester,2021-10-24
16,Rosa,Monteiro,Bilbao,ES,second_trimester,2021-07-18
17,Sofia,González,Alicante,ES,first_trimester,2022-07-10
18,Lucia,Costa,Évora,PT,second_trimester,2021-06-02
19,Susana,Rodrigues,Aveiro,PT,second_trimester,2021-04-19
20,Inês,Martins,Alicante,ES,third_trimester,2021-09-07
21,Carla,Costa,Lisboa,PT,first_trimester,2021-01-07
22,Rita,Ferreira,Setúbal,PT,postpartum,2022-10-29
23,Carmen,Sánchez,Leiria,PT,second_trimester,2021-11-22
24,Ana,Rodrigues,Alicante,ES,third_trimester,2021-07-21
25,Elena,González,Málaga,ES,second_trimester,2022-12-30
26,Mariana,García,Faro,PT,postpartum,2021-06-26
27,Diana,García,Barcelona,ES,third_trimester,2022-06-08
28,Nuria,Fernández,Braga,PT,second_trimester,2022-09-27
29,Rosa,Pereira,Zaragoza,ES,third_trimester,2021-07-20
30,Mariana,Sánchez,Coimbra,PT,second_trimester,2022-06-26
31,Carla,Almeida,Aveiro,PT,third_trimester,2021-05-03
32,Patricia,Oliveira,Bilbao,ES,second_trimester,2021-04-21
33,Marta,Santos,Madrid,ES,third_trimester,2021-10-27
34,Isabel,Martins,Alicante,ES,second_trimester,2021-01-29
35,Teresa,Sánchez,Funchal,PT,third_trimester,2022-10-27
36,Paula,García,Málaga,ES,postpartum,2021-11-30
37,Diana,Monteiro,Bilbao,ES,second_trimester,2021-03-02
